country,total_cases,total_deaths,total_recovered,active_cases,total_tests_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,country_id,_id
Cuba,1111452,8530,1102815,107,98309,754,14233813,1259000,11305652,64,6390cb5c15cbcb0402af9583
UAE,1045040,2348,1025425,17267,103656,233,197403749,19580238,10081785,65,6390cb5c15cbcb0402af9584
Ecuador,1011132,35940,973448,1744,55822,1984,3082403,170173,18113361,66,6390cb5c15cbcb0402af9585
Panama,1009252,8533,991093,9626,226953,1919,7292089,1639790,4446964,67,6390cb5c15cbcb0402af9586
Nepal,1000921,12019,988830,72,33115,398,5981193,197885,30225582,68,6390cb5c15cbcb0402af9587
Uruguay,995402,7541,986371,1490,284725,2157,6114822,1749083,3496016,69,6390cb5c15cbcb0402af9588
Belarus,994037,7118,985592,1327,105381,755,13646641,1446722,9432800,70,6390cb5c15cbcb0402af9589
Mongolia,993705,2179,988552,2974,294163,645,4030048,1193000,3378078,71,6390cb5c15cbcb0402af958a
Latvia,966813,6107,950319,10387,522930,3303,7746372,4189862,1848837,72,6390cb5c15cbcb0402af958b
Saudi Arabia,826009,9477,813448,3084,23044,264,44845857,1251108,35844909,73,6390cb5c15cbcb0402af958c
Azerbaijan,824574,9984,814298,292,80054,969,7385915,717065,10300205,74,6390cb5c15cbcb0402af958d
Bahrain,696851,1536,694364,951,390615,861,10584386,5933008,1783983,75,6390cb5c15cbcb0402af958e
Sri Lanka,671719,16806,654892,21,31133,779,6486117,300619,21575842,76,6390cb5c15cbcb0402af958f
Kuwait,662747,2570,660095,82,151301,587,8447300,1928464,4380326,77,6390cb5c15cbcb0402af9590
Dominican Republic,650990,4384,644785,1821,58879,397,3740928,338350,11056370,78,6390cb5c15cbcb0402af9591
Myanmar,633341,19488,607877,5976,11468,353,9702648,175686,55227143,79,6390cb5c15cbcb0402af9592
Palestine,620816,5404,614962,450,116137,1011,3078533,575907,5345541,80,6390cb5c15cbcb0402af9593
Cyprus,618248,1237,605050,11961,505358,1011,9640118,7879860,1223387,81,6390cb5c15cbcb0402af9594
Estonia,609769,2799,524990,81980,461279,2117,3613378,2733452,1321910,82,6390cb5c15cbcb0402af9595
Moldova,595402,11920,504142,79340,148362,2970,3216305,801437,4013171,83,6390cb5c15cbcb0402af9596
Venezuela,547962,5829,541054,1079,18723,199,3359014,114771,29266991,84,6390cb5c15cbcb0402af9597
Egypt,515645,24613,442182,48850,4857,232,3693367,34792,106156692,85,6390cb5c15cbcb0402af9598
Libya,507100,6437,500610,53,72024,914,2483318,352707,7040745,86,6390cb5c15cbcb0402af9599
Ethiopia,494857,7572,472547,14738,4096,63,5372583,44470,120812698,87,6390cb5c15cbcb0402af959a
Qatar,482499,685,479251,2563,161917,230,4065369,1364257,2979915,88,6390cb5c15cbcb0402af959b
Réunion,477305,903,418572,57830,525631,994,1603660,1766027,908061,89,6390cb5c15cbcb0402af959c
Armenia,445828,8712,434979,2137,150011,2931,3237561,1089367,2971966,90,6390cb5c15cbcb0402af959d
Bosnia and Herzegovina,400626,16208,378468,5950,123295,4988,1880050,578599,3249317,91,6390cb5c15cbcb0402af959e
Oman,399119,4260,384669,10190,74966,800,25000000,4695724,5323993,92,6390cb5c15cbcb0402af959f
China,349938,5235,301748,42955,242,4,160000000,110461,1448471400,93,6390cb5c15cbcb0402af95a0
North Macedonia,345067,9591,335261,215,165794,4608,2141032,1028697,2081304,94,6390cb5c15cbcb0402af95a1
Kenya,341977,5684,335740,553,6083,101,3946234,70199,56215221,95,6390cb5c15cbcb0402af95a2
Zambia,333746,4019,329690,37,17141,206,3765147,193380,19470234,96,6390cb5c15cbcb0402af95a3
Albania,333455,3593,328263,1599,116333,1254,1941032,677173,2866374,97,6390cb5c15cbcb0402af95a4
Botswana,326800,2793,323747,260,133871,1144,2026898,830300,2441162,98,6390cb5c15cbcb0402af95a5
Luxembourg,297757,1133,288991,7633,463528,1764,4412567,6869188,642371,99,6390cb5c15cbcb0402af95a6
Montenegro,283895,2790,280846,259,452098,4443,2667497,4247945,627950,100,6390cb5c15cbcb0402af95a7
Algeria,271122,6881,182586,81655,5978,152,230861,5091,45350148,101,6390cb5c15cbcb0402af95a8
Nigeria,266283,3155,259640,3488,1229,15,5441162,25104,216746934,102,6390cb5c15cbcb0402af95a9
Zimbabwe,259356,5622,253061,673,16917,367,2525756,164744,15331428,103,6390cb5c15cbcb0402af95aa
Uzbekistan,247424,1637,241486,4301,7196,48,1377915,40077,34382084,104,6390cb5c15cbcb0402af95ab
Brunei,241044,225,222140,18679,541148,505,717784,1611437,445431,105,6390cb5c15cbcb0402af95ac
Mozambique,230624,2226,228310,88,6970,67,1371127,41437,33089461,106,6390cb5c15cbcb0402af95ad
Kyrgyzstan,206543,2991,196406,7146,30698,445,1907195,283460,6728271,107,6390cb5c15cbcb0402af95ae
Afghanistan,206414,7837,184109,14468,5065,192,1163103,28539,40754388,108,6390cb5c15cbcb0402af95af
El Salvador,201785,4230,179410,18145,30805,646,2610114,398467,6550389,109,6390cb5c15cbcb0402af95b0
Maldives,185632,311,163687,21634,343137,575,2213831,4092223,540985,110,6390cb5c15cbcb0402af95b1
Trinidad and Tobago,185528,4268,181075,185,131900,3034,871158,619343,1406585,111,6390cb5c15cbcb0402af95b2
